,labels,A680_N0,A680_N1,A680_N2,A680_C0,A680_C1,A680_C2,sites,y,x,A594_N0,A594_N1,A594_N2,A594_C0,A594_C1,A594_C2,A532_N0,A532_N1,A532_N2,A532_C0,A532_C1,A532_C2,A488_N0,A488_N1,A488_N2,A488_C0,A488_C1,A488_C2,A430_N0,A430_N1,A430_N2,A430_C0,A430_C1,A430_C2,A405_N0,A405_N1,A405_N2,A405_C0,A405_C1,A405_C2
14471,77,73.6355743408,0.0,230.684341431,58.3723602295,0.0,104.218154907,E9-Site_4,213.538461538,54.3461538462,84.6017913818,1289.96496582,542.205444336,67.2630462646,986.095581055,268.612365723,1849.95385742,101.665267944,30.5090351105,108.392654419,38.7004318237,17.4267616272,0.0,0.0,0.0,63.1782684326,0.0,0.0,0.0,564.952880859,70.2283325195,0.0,35.1023254395,29.2439575195,0.0,3093.74951172,108.722702026,0.0,633.183532715,15.4488954544
14472,78,69.8750610352,0.0,284.345245361,78.1732177734,0.0,116.515434265,E9-Site_4,216.628571429,234.971428571,380.096374512,1305.79504395,653.066833496,379.082519531,1547.37390137,653.582824707,22835.0175781,221.203277588,25.7665710449,417.401306152,76.8967895508,29.9115810394,0.0,0.0,0.0,0.0,162.880691528,0.0,0.0,521.209594727,94.406463623,0.0,24.0486450195,56.4754104614,0.0,3341.00878906,382.203552246,0.0,733.870666504,104.953590393
14473,79,70.3926849365,0.0,261.303619385,64.2130050659,0.0,105.961868286,E9-Site_4,217.0,250.5,72.240020752,923.232788086,380.65524292,79.091178894,1126.55566406,277.480773926,2269.49072266,82.7411651611,19.3928222656,107.354400635,52.7774276733,17.3906116486,0.0,0.0,0.0,70.9856109619,0.0,0.0,2.68976068497,567.005554199,108.59022522,0.0,43.5026779175,37.8507957458,0.0,3679.19604492,442.86907959,0.0,797.739990234,73.125213623
14474,80,80.0677490234,0.0,265.312927246,57.0037689209,0.0,114.946891785,E9-Site_4,224.526315789,94.3157894737,108.924476624,1234.76489258,576.327392578,85.407989502,1103.11486816,321.649963379,2741.25268555,120.627563477,54.5733413696,122.264656067,42.6018486023,20.4206695557,0.0,0.0,0.0,2.99409842491,0.0,0.0,0.0,573.005615234,91.5512237549,0.0,45.7730903625,47.203163147,0.0,3537.15869141,229.432647705,0.0,782.197692871,54.9228553772
14475,81,23.5850925446,0.0,307.123199463,108.473312378,0.0,154.213684082,E9-Site_4,225.913043478,107.347826087,462.242034912,1620.93237305,868.198852539,361.604736328,2270.77001953,948.674804688,23362.7753906,540.14666748,46.5597915649,289.656188965,125.296386719,53.8676338196,0.0,0.0,0.0,54.6594314575,69.581161499,0.0,0.0,740.835083008,100.359565735,0.0,83.3094406128,60.6015701294,0.0,3687.63574219,365.020019531,0.0,1612.46435547,114.540756226
14476,82,54.0341796875,0.0,231.169708252,52.2322807312,0.0,70.2208023071,E9-Site_4,229.461538462,149.346153846,114.855751038,1090.86962891,395.49786377,65.2910308838,934.075805664,192.538909912,3872.53076172,100.395309448,22.2959327698,85.5179443359,35.6032867432,13.0831756592,0.0,0.0,0.0,56.024974823,7.21927165985,0.0,0.0,748.344238281,103.131225586,0.0,39.3458175659,32.3808517456,0.0,3501.97705078,410.292602539,0.0,622.903869629,53.988609314
14477,83,4.54598855972,0.0,220.29574585,75.0851898193,0.0,119.45425415,E9-Site_4,228.470588235,34.6470588235,415.704376221,1302.5880127,502.651245117,424.892883301,1645.38879395,798.083374023,20833.6132812,362.081542969,20.9736309052,228.93182373,77.1464614868,23.9139995575,0.0,0.0,0.752437949181,98.667175293,203.045196533,0.0,0.0,926.46282959,73.136756897,0.0,62.373374939,24.4158992767,0.0,3317.68579102,153.664779663,0.0,984.064819336,12.8709888458
14480,86,61.0670623779,0.0,229.095153809,58.5624313354,0.0,108.861343384,E9-Site_4,232.391304348,23.0,636.762390137,1572.74804688,781.442321777,388.317810059,1520.89331055,745.219970703,17397.4882812,355.506195068,36.3999137878,955.008911133,61.2500419617,20.041103363,0.0,12.4251441956,0.0,0.0,141.728942871,0.0,0.0,756.220397949,98.2456436157,0.0,74.7463226318,61.6193122864,0.0,3019.01391602,179.504302979,0.0,915.879455566,109.94430542
14481,87,74.3710250854,0.0,248.069915771,63.4912986755,0.0,122.765640259,E9-Site_4,233.05,206.0,56.1007995605,1169.06030273,385.010559082,74.5185089111,1303.21191406,327.81149292,1202.9987793,79.5440292358,21.3351249695,116.198829651,67.0865478516,24.5555763245,0.0,0.0,0.0,115.314086914,0.0,0.0,0.0,455.082702637,91.8457946777,0.0,41.2746276855,43.1831665039,0.0,3689.13574219,506.524505615,0.0,776.91229248,101.658203125
14483,89,55.1612319946,0.0,238.433700562,54.8342514038,0.0,187.894470215,E9-Site_4,233.555555556,268.777777778,99.8323516846,1088.21179199,543.225219727,64.4741973877,1333.03088379,770.070922852,5382.2578125,106.51877594,21.5634460449,274.800415039,93.5937957764,27.898235321,0.0,0.0,0.0,0.0,2.87846183777,0.0,0.0,844.105285645,105.530326843,0.0,196.569396973,70.6094818115,0.0,5093.125,526.329101562,0.0,1575.38635254,173.372070312
